company_id,employee_count,follower_count,time_recorded
391906,186,32508,1712346173
22292832,311,4471,1712346173
20300,1053,6554,1712346173
3570660,383,35241,1712346173
878353,52,26397,1712346173
729238,268,41433,1712346173
766849,24,68011,1712346173
12828,2659,43975,1712346173
2934678,331,121007,1712346173
15984730,481,50359,1712346173
34771607,3,181,1712346173
947812,102,2831,1712346173
6618000,11,7478,1712346173
5887,1426,975931,1712346173
34214892,79,828,1712346173
16239240,20862,652495,1712346173
75056372,120,64456,1712346173
23656,622,266464,1712346173
33218,191,36335,1712346173
1712844,419,10639,1712346173
11056,14122,2371805,1712346173
24440,6335,978368,1712346248
4592,17827,553183,1712346248
33671,4668,84754,1712346248
11676886,0,7,1712346248
7164053,108,2036,1712346248
14158,450,148678,1712346248
366025,18719,72339,1712346248
18306,9745,83680,1712346248
6213,3857,72351,1712346248
349088,744,10689,1712346248
3556531,64,1781,1712346248
4433,3453,631049,1712346248
4787,13125,1504572,1712346248
65294553,72,68800,1712346248
90869,17,9909,1712346248
7790573,16,233,1712346248
74827,61,70835,1712346323
5396873,161,108038,1712346323
99410085,0,53,1712346323
261933,205,49801,1712346323
164376,6700,382469,1712346323
36226,163,3217,1712346323
50861,621,142004,1712346323
1054905,1999,31330,1712346323
18939015,0,927,1712346323
2855513,1082,178948,1712346323
649827,430,477423,1712346323
4015761,187,750,1712346323
24803,130,60572,1712346323
13345578,279,85916,1712346323
98504846,36,253,1712346323
56833,1623,131657,1712346397
1705516,101,4989,1712346397
203227,42,5599,1712346397
33279976,5,18278,1712346397
3345041,37,23212,1712346397
54077952,74,686,1712346397
27021761,7,6075,1712346397
5304844,65,2832,1712346397
63155,600,1898,1712346397
356432,285,3487,1712346397
30104,88,27403,1712346397
4674,18227,141951,1712346397
8913985,56,752,1712346397
15457223,50,2681,1712346397
397597,119,12208,1712346397
5117988,3,918,1712346397
53255,105,71020,1712346397
970538,1011,1286383,1712346397
9372063,140,238138,1712346397
15506,12832,957796,1712346472
2254994,130,281697,1712346472
48024,7200,86396,1712346472
111849,70,21718,1712346472
77912635,10,1189,1712346472
65647,350,65565,1712346472
213746,15,39382,1712346472
1381506,449,30648,1712346472
146782,141,126217,1712346472
16169840,48,60895,1712346472
612698,1056,3741,1712346472
770551,287,1095,1712346472
35123,1053,11589,1712346472
13333,312,73556,1712346472
1404653,173,2487,1712346472
6522041,19,469,1712346472
777243,322,360951,1712346472
86734830,5,1085,1712346472
468898,52,23394,1712346546
24996269,234,4004,1712346546
164126,10962,78426,1712346546
75584764,49,8038,1712346546
3293893,97,3905,1712346546
10638654,571,4244,1712346546
1499970,24,97,1712346546
71373471,164,8725,1712346546
46970,658,117223,1712346546
1552586,144,8554,1712346546
91371020,2,630,1712346546
22448914,28,937,1712346546
165464,5047,425077,1712346546
47024,28,95839,1712346546
100977746,4,679,1712346546
10126963,353,427245,1712346621
8323,3898,175870,1712346621
143796,77,16368,1712346621
109785,424,23819,1712346621
9280354,125,16699,1712346621
3638332,100,7053,1712346621
56147841,8,5,1712346621
57301703,138,200,1712346621
680248,1640,183968,1712346621
3476,10385,3567388,1712346621
1056670,120,106590,1712346621
18298504,1807,13260,1712346621
13331595,530,184143,1712346621
705539,280,28636,1712346621
934588,10393,238786,1712346621
28498,9814,38742,1712346621
2911058,465,44904,1712346695
10620373,532,55069,1712346695
294125,487,46472,1712346695
74604183,11,9863,1712346695
3670040,12,9097,1712346695
8556,1616,20719,1712346695
361424,3276,233232,1712346695
101478385,2,365,1712346695
26638644,332,20040,1712346695
684457,123,102671,1712346695
259589,471,379498,1712346695
2721914,1454,72098,1712346695
90396,820,118492,1712346695
19647,399,12089,1712346769
708917,425,25603,1712346769
72139474,5,2056,1712346769
3256227,20,8531,1712346769
8288,5677,91782,1712346769
682039,607,17129,1712346769
82812549,2,685,1712346769
1375914,1883,33728,1712346769
1364228,78,23452,1712346769
10572843,6,453,1712346769
2743,86001,2918037,1712346769
42368,645,8324,1712346769
886425,599,2445,1712346769
2121817,411,339347,1712346769
52147722,13,1301,1712346769
164075,5180,47861,1712346769
331482,143,6508,1712346769
8919656,67,265,1712346843
71951690,29,21127,1712346843
2985733,943,470739,1712346843
26162,119,16787,1712346843
22355,2345,58037,1712346843
34616,143,87605,1712346843
1284538,41,498,1712346843
2248728,59,1274,1712346843
2740447,202,8483,1712346843
2217,55909,2296794,1712346843
860999,9308,122691,1712346843
77230639,38,2500,1712346843
418549,553,2605,1712346843
16903,3835,235534,1712346843
590130,447,27020,1712346843
13727,5493,110832,1712346917
35477056,96,7656,1712346917
6575960,21,82778,1712346917
1788903,1044,36330,1712346917
333636,41,5592,1712346917
21541,239,89807,1712346917
17937,2898,649327,1712346917
3488,12998,537106,1712346917
1765887,430,6133,1712346917
99019748,6,3166,1712346917
743843,93,109730,1712346917
49041,8575,134179,1712346917
1394696,77,1379,1712346917
94176135,11,116,1712346917
32090,409,44076,1712346917
33146581,5,12197,1712346917
18944507,64,580,1712346992
250099,99,63227,1712346992
14562893,3017,348917,1712346992
35513424,157,573295,1712346992
11005191,11,485,1712346992
10146704,875,81517,1712346992
827183,597,614163,1712346992
31474641,29,3054,1712346992
373568,393,244589,1712346992
2837158,23,1377,1712346992
6814,39851,2037836,1712346992
2070896,208,9607,1712346992
103157091,0,50,1712346992
482272,360,21801,1712346992
3541916,89,15256,1712347066
84810235,30,2324,1712347066
22517,257,1902,1712347066
35690611,1553,145164,1712347066
272484,26,97,1712347066
693360,167,10868,1712347066
74160429,4,911,1712347066
11541,11592,450906,1712347066
5235,13428,2458095,1712347066
6652390,450,20713,1712347066
80936343,2,39,1712347066
4872007,155,273523,1712347066
2181040,136,2435,1712347066
53157,169,3313,1712347066
53195,856,12493,1712347066
165876,6937,42476,1712347066
66022,1196,29146,1712347141
74571418,675,92546,1712347141
775963,676,51468,1712347141
15982494,55,1294,1712347141
7585,768,38196,1712347141
165568,20362,125454,1712347141
726206,1009,11010,1712347141
162866,7454,543999,1712347141
10592585,95,144055,1712347141
148738,92,6359,1712347141
19150067,92,6440,1712347141
10205455,8,623,1712347141
10500730,11,480,1712347141
3805712,80,1363,1712347215
52945,3438,42043,1712347215
2329852,25,373,1712347215
2107301,57,2551,1712347215
758538,681,3541,1712347215
2551202,170,4635,1712347215
620188,40,466,1712347215
488066,1271,22554,1712347215
64558550,1379,124232,1712347215
64877765,67,48855,1712347215
457885,911,35927,1712347215
14379449,121,61102,1712347215
10612451,38,17887,1712347215
4661,14105,461638,1712347215
3266676,126,937,1712347215
672814,41,3838,1712347290
11229,4883,780056,1712347290
42054,279,52725,1712347290
13179119,822,15932,1712347290
584401,242,1039,1712347290
1107795,691,14780,1712347290
74713745,578,10821,1712347290
92633414,18,161,1712347290
218097,642,20713,1712347290
121408,29,2182,1712347290
400176,78,2892,1712347290
2833399,3,35,1712347290
18921,626,94717,1712347290
323296,1191,70105,1712347290
5294,12037,111541,1712347364
41255,87,27148,1712347364
36519,42,57834,1712347364
67289844,5,12216,1712347364
72460832,6,810,1712347364
77117,209,17705,1712347364
4399,21846,141416,1712347364
74411,191,2868,1712347364
3272531,214,7383,1712347364
11243687,146,31340,1712347364
87089248,13,147,1712347364
64726,1507,48484,1712347364
860833,206,1063,1712347364
226965,686,473028,1712347364
69392001,14,953,1712347364
25461,559,314250,1712347439
14580269,102,55166,1712347439
378223,503,6361,1712347439
11193,1871,17767,1712347439
51701268,503,214280,1712347439
15160138,33,11667,1712347439
91447303,3681,643191,1712347439
12908540,192,7568,1712347439
611131,4793,47108,1712347439
92188790,3,52,1712347439
1117266,20,1676,1712347439
1072126,1290,12901,1712347439
3831791,229,1660,1712347439
80451189,4,2084,1712347439
6416768,33,620,1712347439
511617,63,1083,1712347513
56466229,805,16448,1712347513
3785467,46,14683,1712347513
10801655,24616,557883,1712347513
328568,308,2527,1712347513
233054,202,20180,1712347513
2087,75323,1811653,1712347513
518206,8,18281,1712347513
86860077,66,3783,1712347513
4026134,29,445,1712347513
164044,5185,80575,1712347513
2096,7461,281828,1712347513
10013619,146,7906,1712347587
33250915,748,26830,1712347587
90985,506,14844,1712347587
1725692,292,2167,1712347587
74722833,31,9427,1712347587
8363,9473,93413,1712347587
101396860,1,443,1712347587
28126191,1206,73787,1712347587
4594437,5,73,1712347587
3631283,51,1274,1712347587
163885,1271,27186,1712347587
311752,91,432,1712347661
34310,663,15049,1712347661
122451,668,181848,1712347661
272414,212,11224,1712347661
62101,1366,8782,1712347661
9025,20719,40861,1712347661
1494955,323,23995,1712347661
12192,5955,91590,1712347661
162570,2124,59812,1712347661
30160523,6,1429,1712347661
89551968,4,618,1712347661
35585529,1532,27484,1712347661
73845708,3,1846,1712347661
11471407,584,12376,1712347661
164848,5869,27862,1712347661
1681,29268,3006318,1712347746
4440,14340,485833,1712347746
22113,192,5304,1712347746
46201,160,1820,1712347746
232394,104,114221,1712347746
2240218,89,118345,1712347746
21337,12857,167883,1712347746
80354,1311,15666,1712347746
6083,3090,39490,1712347746
162510,4629,93742,1712347746
10201130,6,253,1712347746
81297771,8,8427,1712347746
74097,167,13264,1712347746
280666,1282,6038,1712347746
219963,1114,9709,1712347746
3776,9380,424058,1712347746
20507081,654,25882,1712347820
116025,131,4379,1712347820
2150532,77,1848,1712347820
164131,3290,446279,1712347820
68818843,593,5573,1712347820
52176410,25,31929,1712347820
74075477,2,1422,1712347820
36411,1038,64641,1712347820
73836834,125,699,1712347820
544277,311,9271,1712347820
2979375,89,1118,1712347820
3256390,80,9471,1712347820
5328,54471,2483742,1712347894
7041911,2,24,1712347894
91423287,3,25,1712347894
16057060,28,1541,1712347894
887799,452,7590,1712347894
27189203,17,359,1712347894
619425,81,804,1712347894
5343,27775,320657,1712347894
132319,86,86806,1712347894
2090,1754,75025,1712347894
2753,46197,1090933,1712347894
17962594,22,279,1712347894
15085131,262,13580,1712347894
11963,7456,184846,1712347894
71575605,3151,41844,1712347894
31162076,67,10406,1712347894
2043953,87,52811,1712347968
2849719,525,12978,1712347968
33264,1673,44539,1712347968
331509,224,75460,1712347968
4564,18470,100324,1712347968
100274477,6,985,1712347968
24157,1294,23485,1712347968
5348965,148,13663,1712347968
33338,3906,22119,1712347968
5345313,446,296051,1712347968
22134,447,8880,1712347968
2030200,52,3935,1712347968
229433,3056,251916,1712347968
65588154,1018,223324,1712347968
14377562,789,134224,1712347968
34414,719,36990,1712347968
309222,17,22456,1712347968
3626487,58,60089,1712348042
82284641,5,67,1712348042
1996803,314,15989,1712348042
388449,172,1391,1712348042
11022780,520,24256,1712348042
79383535,22902,1994376,1712348042
781738,39,16751,1712348042
53369792,22,1954,1712348042
349330,434,1817,1712348042
2160548,74,15022,1712348042
3714038,83,6786,1712348042
51584508,10,1269,1712348042
379775,1201,13770,1712348042
27096316,357,15371,1712348042
164590,6395,159773,1712348042
110859,621,6833,1712348042
20911,2234,19809,1712348042
68229923,10,23105,1712348042
18444862,102,3113,1712348042
99224110,2,151,1712348116
28132344,46,962,1712348116
16096,15544,100123,1712348116
14476,1967,22301,1712348116
16182,13591,74551,1712348116
2061386,2740,15978,1712348116
74892224,17,39,1712348116
1040738,25,11325,1712348116
13655403,198,25020,1712348116
15695384,5,1199,1712348116
10080,12650,118602,1712348116
16726,5295,89312,1712348116
33307792,299,7572,1712348116
15876051,70,5518,1712348116
15505005,135,13853,1712348116
145785,214,2204,1712348190
14023910,3769,109207,1712348190
12787,3865,27795,1712348190
48171,2308,185686,1712348190
103172637,0,2,1712348190
3475,44282,901446,1712348190
166572,30290,445978,1712348190
27198557,671,6268,1712348190
80298050,394,1143,1712348190
2610,10757,162335,1712348190
3042775,625,106074,1712348190
2238,75880,3188636,1712348190
10048388,150,11995,1712348190
2937169,7,4745,1712348190
1304385,52257,1321017,1712348190
77003969,57,350,1712348190
2614427,55,219,1712348264
145522,1283,9528,1712348264
118486,79,1035,1712348264
310015,532,129105,1712348264
98447259,2,2433,1712348264
8716,1628,48883,1712348264
87089640,11100,229619,1712348264
1229716,623,36750,1712348264
3234958,18,6216,1712348264
78331809,12,184,1712348264
1861137,255,4323,1712348264
51625397,303,28709,1712348264
1596601,152,1793,1712348264
2899266,68,33437,1712348264
61811101,74,174,1712348264
15861467,41,1453,1712348264
3677,41796,239794,1712348339
64697406,21,486,1712348339
150772,74,73212,1712348339
163761,79547,103282,1712348339
226898,145,41453,1712348339
3071652,69,543,1712348339
15155562,195,5743,1712348339
2311,227165,2423880,1712348339
47580,215,4745,1712348413
305322,45,4699,1712348413
2305,16438,385524,1712348413
12699415,2112,80251,1712348413
9229026,76,109068,1712348413
1668011,44,5619,1712348413
65286386,15,7322,1712348413
42537,1858,12202,1712348413
444782,1377,5978,1712348413
389765,498,19526,1712348413
91120639,113,185,1712348413
21642,1703,14211,1712348413
5352221,23,949,1712348487
13884,4294,29484,1712348487
996149,113,6266,1712348487
60437,1298,42221,1712348487
477843,99,20938,1712348487
2628791,11,922,1712348487
163049,14842,81872,1712348487
18613,42408,149860,1712348487
21460,3149,23982,1712348487
1344,125954,2746386,1712348487
6265,12075,135326,1712348487
1211063,566,5822,1712348487
808034,20523,112104,1712348561
1200322,13,1599,1712348561
12979710,2,2852,1712348561
79153265,3921,136596,1712348561
1353,594911,14739376,1712348561
34583,5052,47731,1712348561
55381,6164,51773,1712348561
64611,27,7359,1712348561
72081740,418,251955,1712348561
287076,454,12760,1712348561
63879,40,6089,1712348561
18293159,2163,104648,1712348561
6569061,1001,3578,1712348561
17388,3197,42501,1712348636
54788,47,46001,1712348636
11266342,1674,12695,1712348636
3558,18547,435941,1712348636
908113,1210,21492,1712348636
11369433,129,11737,1712348636
4680,117836,825103,1712348636
29121514,30,14277,1712348636
25053600,43,883,1712348636
157353,45119,607000,1712348636
2764432,182,2401,1712348636
12770,32923,1207087,1712348636
99500489,9,50,1712348636
859069,46,6234,1712348636
269397,5636,145148,1712348710
18268450,20,1238,1712348710
10593599,94,11696,1712348710
2612425,615,8007,1712348710
56350634,7,134,1712348710
5266540,28,1372,1712348710
99351497,0,8,1712348710
8653,1861,21460,1712348710
89520,6470,35198,1712348710
61984,743,5805,1712348710
80871784,2,2692,1712348710
56004080,14,14,1712348710
89684468,81,20037,1712348710
22505,3775,151477,1712348710
2399284,30,5163,1712348710
13624369,121,6148,1712348710
9331883,20,49764,1712348784
2498108,451,40068,1712348784
59634,2419,105187,1712348784
9454833,139,8386,1712348784
213642,1212,53768,1712348784
2650,22262,548428,1712348784
948847,163,2724,1712348784
103114587,0,1,1712348784
2509347,37,17475,1712348784
933942,502,34717,1712348784
50076,3724,250675,1712348858
153364,46,26104,1712348858
20369,8407,631027,1712348858
2396310,8971,517402,1712348858
7355,758,487714,1712348858
8835,4185,169192,1712348858
68529,10221,1200520,1712348858
29686,166,140111,1712348858
9382700,30,2617,1712348858
19722,12254,295600,1712348858
67155308,8607,46606,1712348858
8847,3327,6916,1712348858
7413,8245,93342,1712348858
16388,3578,579238,1712348858
2831596,555,26569,1712348858
63563,25,69864,1712348933
838311,613,35774,1712348933
109285,543,10499,1712348933
77847,1081,25385,1712348933
2327,57189,2251315,1712348933
3715179,6,10251,1712348933
17995,3592,52199,1712348933
68277835,22,2089,1712348933
9201883,168,72940,1712348933
3028,20220,144766,1712348933
33619,345,12015,1712348933
110410,7158,225544,1712349007
3386,4903,284486,1712349007
74364029,49,33182,1712349007
16775,493,46083,1712349007
87117542,45,2156,1712349007
54325,1995,112512,1712349007
157240,301135,6579735,1712349007
25026529,18,396,1712349007
3625,48922,826610,1712349007
3362620,1595,20911,1712349007
24795036,2307,76227,1712349007
12984051,339,10021,1712349007
299305,27,2552,1712349007
18756,7124,52804,1712349007
740278,5285,74614,1712349081
2300,75904,602380,1712349081
2480456,32,2724,1712349081
922983,888,5463,1712349081
1475190,1454,26881,1712349081
21007,349,23546,1712349081
87147260,1878,20051,1712349081
310756,963,3329,1712349081
2019,13656,287076,1712349081
10831504,3581,27448,1712349081
67331111,18,3003,1712349155
450312,13,378,1712349155
16685,2665,97444,1712349155
33247784,8558,120076,1712349155
101591290,6,213,1712349155
18058364,339,32064,1712349155
3029525,3754,110733,1712349155
1768093,1955,7194,1712349155
5340064,599,20701,1712349155
22456,2831,461784,1712349155
7587252,309,12083,1712349155
68160051,3,53,1712349155
6575603,108,208604,1712349155
165924,5068,38009,1712349155
9859,6032,258413,1712349155
2385130,3140,41251,1712349229
25929,175,38751,1712349229
2951516,173,13269,1712349229
116488,156,2732,1712349229
1122744,3500,49708,1712349229
8498368,33,57,1712349229
10364146,82,2558,1712349229
1063,99656,6324281,1712349229
2143963,100,48674,1712349229
2564990,75,2231,1712349229
47664328,51140,480917,1712349229
10010758,1273,14493,1712349229
2474662,1193,625517,1712349229
5399183,171,966,1712349229
1767,36675,565568,1712349302
7933020,255,2762,1712349302
5365891,17,694,1712349302
62197,287,4175,1712349302
2843538,60,64961,1712349302
1339209,10148,111444,1712349302
35679573,134,53785,1712349302
165461,4594,55523,1712349302
1012577,48,1982,1712349302
6419,26499,480635,1712349302
7886,6165,182965,1712349302
80301,377,37276,1712349302
3325979,233,19521,1712349302
68277511,38,24222,1712349302
99093396,6,106,1712349376
5884,3353,54612,1712349376
81958632,978,35285,1712349376
28648492,1567,12131,1712349376
3043691,4636,270842,1712349376
11427160,203,1448,1712349376
95710173,2,4,1712349376
396765,201,4550,1712349376
2684081,312,439069,1712349376
79988879,4435,25894,1712349376
2107,18210,393933,1712349376
69891324,54,2850,1712349376
38900,4903,22894,1712349376
3557,3042,33486,1712349376
7926885,2703,50113,1712349376
5674,5739,31665,1712349451
612636,2075,11923,1712349451
3593828,12,8448,1712349451
9018,2481,158640,1712349451
10376920,32,40,1712349451
167902,1073,108604,1712349451
3653845,7699,804551,1712349451
1087151,176,6680,1712349451
74539755,10,111,1712349451
815009,711,132017,1712349451
304182,403,7709,1712349451
2614691,23,1154,1712349451
10515109,44,5733,1712349451
1646,23885,2296075,1712349527
163138,5636,204653,1712349527
17138,1211,10955,1712349527
166587,17850,86683,1712349527
10559,6342,137017,1712349527
18021229,785,32573,1712349527
7507,5241,919356,1712349527
7684,21784,267016,1712349527
11506594,2735,21341,1712349527
2569441,120,2351,1712349527
3180238,8339,24292,1712349527
86813252,101903,3773454,1712349601
2081025,3380,24813,1712349601
10127950,37,811,1712349601
765008,390,30924,1712349601
721189,1786,13210,1712349601
96691,1052,46841,1712349601
27139071,730,25735,1712349601
107699,1312,35337,1712349601
35647080,1343,20342,1712349601
15248569,16338,479003,1712349601
28974109,13259,168757,1712349601
1029798,272,3742,1712349601
163864,10208,153756,1712349601
81527214,40602,406482,1712349601
3738912,3295,42433,1712349675
128505,5383,273170,1712349675
11683433,482,4666,1712349675
33711,1415,36737,1712349675
163071,1901,8098,1712349675
163161,5489,35495,1712349675
64538444,28,114,1712349675
10298482,61,17548,1712349675
91392159,6,37,1712349675
107021,287,64858,1712349675
4296,22988,212525,1712349675
35634312,132,2533,1712349675
120240,2579,51218,1712349750
29295618,67,2086,1712349750
816968,353,6268,1712349750
11246635,80,8206,1712349750
1393718,29,32469,1712349750
124759,2442,73770,1712349750
7542,10804,269016,1712349750
66705802,16,11585,1712349750
36749,4047,36750,1712349750
165602,2753,482275,1712349750
2260243,115,4339,1712349750
3009879,444,131772,1712349750
2447993,2169,71227,1712349824
162301,2323,28292,1712349824
3719923,25,453,1712349824
28978143,3208,33731,1712349824
3175,14038,290501,1712349824
304056,176,4237,1712349824
945178,1767,162333,1712349824
163617,2293,43347,1712349824
718526,125,10714,1712349824
35452956,182,812,1712349824
19409,1496,132886,1712349824
96635463,4,36,1712349824
13948,1753,410712,1712349898
18915,3084,55910,1712349898
1247220,538,98474,1712349898
19264941,430,7876,1712349898
166209,19910,144677,1712349898
22503,282,144807,1712349898
101726330,0,14,1712349898
14631354,327,123366,1712349898
86265278,2873,33756,1712349898
40894,1960,291813,1712349898
3283566,56,2439,1712349972
1070686,220,123521,1712349972
36676,208,104344,1712349972
1670,12470,111475,1712349972
9511,2368,28623,1712349972
90912229,22,292,1712349972
71350,1782,248038,1712349972
760983,2694,21242,1712349972
9463631,37,407,1712349972
19022,7477,447130,1712349972
906633,26,31238,1712350047
2563046,409,18225,1712350047
221519,689,9440,1712350047
11420962,6251,130453,1712350047
11779403,233,52666,1712350047
8584,13115,353296,1712350047
1210593,4073,43459,1712350047
6460,13954,938459,1712350047
77158779,32,34877,1712350122
936584,1470,22585,1712350122
15357,662,14128,1712350122
14592418,3380,59436,1712350122
1682895,2050,21555,1712350122
1118373,1685,13726,1712350122
44960,1382,34429,1712350122
3178,86960,1817098,1712350122
141230,197,1578,1712350122
166716,2345,35640,1712350122
229786,3214,151753,1712350122
35682513,3,2108,1712350122
92489,365,2714,1712350122
5998,21190,243554,1712350122
19784,5081,78697,1712350122
76943993,88,1304,1712350122
15233663,111,434,1712350122
148877,178,17262,1712350197
2816718,7,2401,1712350197
37268,1026,8000,1712350197
40783,207,168489,1712350197
16690,2211,332234,1712350197
77318089,578,12155,1712350197
102989,156,18369,1712350197
14352,745,500953,1712350197
1311272,198,568,1712350197
1281852,167,61512,1712350197
27193097,86,7598,1712350197
3140,10632,160667,1712350197
315817,16709,106373,1712350197
1072429,204,54172,1712350271
1552579,832,20052,1712350271
1050905,180,4310,1712350271
87145671,78,1175,1712350271
75756975,32,767,1712350271
79482021,59,14621,1712350271
11695207,266,4267,1712350271
162536,5248,26183,1712350271
5140,18102,1147895,1712350271
1154342,2082,47490,1712350271
108854,1172,14563,1712350271
2227,55798,1857158,1712350271
84954827,35,4765,1712350271
11553420,1117,137054,1712350271
1415,67241,1410929,1712350271
78653,401,32651,1712350347
38951,106,12429,1712350347
1512982,647,40252,1712350347
33269,2162,26604,1712350347
1431241,88,13650,1712350347
35462987,526,36293,1712350347
1687254,5133,68714,1712350347
932766,2395,9076,1712350347
10341654,1344,15638,1712350347
19076380,30,36510,1712350347
3248626,448,27170,1712350347
1257837,1318,86550,1712350421
66932,26,2549,1712350421
35074,1700,45195,1712350421
25877,806,20149,1712350421
1539,35551,1092057,1712350421
91369327,5,194,1712350421
4411,20440,474845,1712350421
67146614,14,284,1712350421
13285,7982,53584,1712350421
37857,1139,26468,1712350421
33185140,111,9084,1712350421
166632,14290,431580,1712350421
5410,22094,329122,1712350421
35691529,12,51,1712350421
91449377,3,3385,1712350421
50625,2187,169101,1712350421
163828,16013,81850,1712350495
737010,11026,584872,1712350495
19241,266,42236,1712350495
10464447,70,4497,1712350495
5697,9378,296595,1712350569
2978540,47,1709,1712350569
15080647,116,11442,1712350569
6738,5416,33903,1712350569
65278424,163,66649,1712350569
1621615,151,10134,1712350569
3715929,4,476,1712350569
21273,2654,31902,1712350569
10378739,9,31,1712350569
101169414,0,5,1712350569
3223482,4340,52685,1712350644
30324,1460,341693,1712350644
81560130,9,778,1712350644
1658,15888,148301,1712350644
11700629,35,658,1712350644
93783517,10,18,1712350644
18506580,374,22770,1712350644
20167,874,27501,1712350644
7803213,24,3966,1712350644
9626,19880,37379,1712350644
6592912,82,272916,1712350644
6560,7004,218365,1712350644
74899775,250,8705,1712350644
1002773,11417,78763,1712350644
68304603,34,5810,1712350718
40598,184,15196,1712350718
84647,114,2150,1712350718
279728,31,50174,1712350718
13769,3855,55273,1712350718
6959,1804,64850,1712350718
150048,1089,26329,1712350718
38489,458,28039,1712350718
49151727,491,6377,1712350792
16181713,132,16529,1712350792
86694680,2527,582402,1712350792
1828,57707,1042369,1712350792
24597,2882,46695,1712350792
15400080,29,50,1712350792
10540544,63,32446,1712350792
1028156,324,201633,1712350792
82333881,164,1878,1712350792
167024,10566,336259,1712350866
69502296,422,24951,1712350866
371279,29,5027,1712350866
200685,242,14681,1712350866
7488,10848,97836,1712350866
5085,8292,359637,1712350866
8047188,83,27148,1712350866
16589,4517,53526,1712350866
584081,124,3221,1712350866
1828593,37,10193,1712350866
65633769,679,9267,1712350866
38104971,14,17047,1712350866
90198358,537,31485,1712350940
211981,1636,61284,1712350940
11115,8842,192581,1712350940
16182319,276,5057,1712350940
552958,76,1061,1712350940
7032,32412,254521,1712350940
410291,195,6417,1712350940
77610,101,51083,1712350940
586336,372,56627,1712351014
1412,88311,1203459,1712351014
31815,993,11200,1712351014
3100,34350,1090445,1712351014
1946139,3402,10579,1712351014
97900,59,2708,1712351014
11333215,208,4312,1712351014
786140,12,12692,1712351014
27148871,91,37289,1712351014
30409,1218,7856,1712351014
80443373,3344,454944,1712351014
19028770,472,1812,1712351088
236502,60,14463,1712351088
18476,2127,964754,1712351088
148327,193,27051,1712351088
2985341,342,3101,1712351088
2435986,653,7529,1712351088
162772,479,2795,1712351088
13880,1477,17421,1712351088
3607929,513,46959,1712351088
166575,2069,31714,1712351088
206944,19,18978,1712351088
2543692,122,54023,1712351088
101825647,0,2,1712351088
2960725,54,353,1712351163
1715746,1524,111812,1712351163
49893,3226,31868,1712351163
33307789,245,3928,1712351163
604355,138,4350,1712351163
11818084,4067,17583,1712351163
11335633,900,13415,1712351163
100549190,82,1129,1712351163
52136,208,28043,1712351163
1981395,3371,24470,1712351163
2494,23931,1875181,1712351163
2213,39472,830819,1712351163
15602,2375,80000,1712351237
6104,23129,183788,1712351237
621294,853,45965,1712351237
1841,92473,1895285,1712351237
5300,17548,1795918,1712351237
14548615,155,3745,1712351237
122000,16,31191,1712351237
2692976,141,4807,1712351237
309694,35308,2659733,1712351237
1532867,265,2438,1712351237
91195265,29,1018,1712351237
488281,646,347998,1712351237
821065,92,10416,1712351237
1318,244594,8662220,1712351311
71901687,16,1105,1712351311
41688,3329,194778,1712351311
44666,2018,93575,1712351311
54120,704,2084,1712351311
19258959,406,35864,1712351311
2775,101563,810004,1712351311
37564,689,127609,1712351385
788340,612,4420,1712351385
2936694,11141,423166,1712351385
25179038,120,38392,1712351385
456015,65,29359,1712351385
26793,3510,199175,1712351385
105950,1013,11109,1712351385
288851,3751,196369,1712351385
2417568,23,597,1712351385
1394857,164,135856,1712351385
203391,710,25213,1712351385
2183652,1473,650987,1712351385
9089,8371,504534,1712351385
91305,409,8556,1712351385
42912,2241,14008,1712351385
93595157,10,314,1712351385
39237,706,8750,1712351459
38521,2440,10665,1712351459
61257,476,8131,1712351459
96692,977,191671,1712351459
105843,779,13080,1712351459
7851,9273,111006,1712351459
60096806,109,520,1712351459
11647,3356,159559,1712351459
18090,11713,19423,1712351459
2415664,5149,92565,1712351459
3603539,220,9012,1712351459
16227,186,175098,1712351459
2513215,678,4097,1712351459
126085,172,6504,1712351459
51688908,1207,9389,1712351459
35529547,2074,8527,1712351459
3337452,131,2032,1712351533
5848,8235,118654,1712351533
162750,53509,646255,1712351533
2166352,62,69465,1712351533
2857693,10,13405,1712351533
10628617,45,29806,1712351533
101721663,0,82,1712351533
95750606,22,8683,1712351533
5796151,56,2823,1712351533
5999808,2,3,1712351533
3090323,265,1113,1712351533
61716,3773,62960,1712351533
98814,1215,12262,1712351533
163901,1476,29640,1712351533
6389974,367,1740,1712351608
17452,5525,19712,1712351608
20366228,398,2036,1712351608
25370,1196,24731,1712351608
1073,349752,8714256,1712351608
3815031,222,68548,1712351608
23743,518,14212,1712351608
2276,20371,733723,1712351608
74615241,62,1637,1712351608
1286891,861,88933,1712351608
10150946,15,749,1712351608
3264,38685,209068,1712351608
11854633,199,15791,1712351608
18268412,22,1031,1712351682
56670,1974,20544,1712351682
1384,115594,3195572,1712351682
25291,11045,41279,1712351682
420394,61,574,1712351682
